model,accuracy,precision_yes,recall_yes,f1_yes
logistic_without_duration,0.7548379962401858,0.2662363856393707,0.6238185255198487,0.37319762510602206
random_forest_without_duration,0.8598916288842199,0.41942945258288356,0.5141776937618148,0.46199575371549895
random_forest_with_duration,0.8822293486674776,0.49783013019218847,0.7589792060491494,0.6012729314863348
